Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int,Time
run_0086,det10,0.00604812,0.000250786,1072.77,44.4827,15.5859,0.982651,1,0,177373,321
run_0086,det11,0.0108888,0.000432493,1931.38,76.7125,16.145,1.09636,1,0,177373,321
run_0086,det12,0.0119744,0.000291669,2123.94,51.7342,12.1812,0.902251,1,0,177373,321
run_0087,det0,0.0123664,0.000290494,2249.01,52.8307,11.13,1.00708,1,0,181865,335
run_0087,det1,0.0105286,0.000274715,1914.79,49.9611,12.2905,1.05879,1,0,181865,335
run_0087,det2,0.00592515,0.000218841,1077.58,39.7995,11.9487,0.982722,1,0,181865,335
run_0087,det3,0.0107626,0.0002872,1957.35,52.2317,13.6208,1.02321,1,0,181865,335
run_0087,det4,0.0105081,0.000282831,1911.05,51.4371,13.6308,1.00809,1,0,181865,335
run_0087,det5,0.0106551,0.000284957,1937.8,51.8238,13.8631,1.0803,1,0,181865,335
run_0087,det6,0.00994295,0.000266358,1808.28,48.4412,12.0249,0.921281,1,0,181865,335
run_0087,det7,0.0111719,0.00028179,2031.79,51.2478,12.9879,0.902221,1,0,181865,335
run_0087,det8,0.011311,0.000287735,2057.07,52.3289,11.7327,0.74629,1,0,181865,335
run_0087,det9,0.0109388,0.000285897,1989.38,51.9946,11.4106,1.13101,1,0,181865,335
run_0087,det10,0.00601762,0.000238392,1094.39,43.3551,15.6324,0.92183,1,0,181865,335
run_0087,det11,0.0101029,0.000420092,1837.37,76.4,15.4282,1.17092,1,0,181865,335
run_0087,det12,0.0114119,0.000278723,2075.42,50.69,11.8292,1.33051,1,0,181865,335
run_0088,det0,0.00794255,0.000181402,2483.65,56.7247,11.2565,1.27809,1,0,312702,584
run_0088,det1,0.00698821,0.000172353,2185.23,53.895,11.6966,1.18528,1,0,312702,584
run_0088,det2,0.00414918,0.000141924,1297.46,44.3801,12.6127,1.21641,1,0,312702,584
run_0088,det3,3.19793e-06,9.18882e-06,1,2.87336,29.9998,16.2337,1,0,312702,584
run_0088,det4,0.00731599,0.000179291,2287.72,56.0648,13.5002,1.12455,1,0,312702,584
run_0088,det5,0.00717043,0.000188292,2242.21,58.8793,14.9098,1.02891,1,0,312702,584
run_0088,det6,0.00686135,0.000170087,2145.56,53.1865,11.4212,1.22027,1,0,312702,584
run_0088,det7,0.00716067,0.000183849,2239.16,57.49,13.6272,1.00106,1,0,312702,584
run_0088,det8,0.00755434,0.000179717,2362.26,56.1978,11.7277,1.12172,1,0,312702,584
run_0088,det9,0.00750246,0.000176476,2346.04,55.1845,11.1659,1.27545,1,0,312702,584
run_0088,det10,0.00421988,0.000177793,1319.56,55.5963,16.3489,1.33808,1,0,312702,584
run_0088,det11,0.00690229,0.000265545,2158.36,83.0366,16.125,1.10322,1,0,312702,584
run_0088,det12,0.00771485,0.000176684,2412.45,55.2496,12.426,1.11987,1,0,312702,584
run_0089,det0,0.00998109,0.000192248,3345.93,64.4467,11.1836,0.981871,1,0,335227,552
run_0089,det1,0.00885004,0.000197958,2966.77,66.3608,12.0187,0.910506,1,0,335227,552
run_0089,det2,0.00527075,0.000150169,1766.9,50.3408,12.0984,1.06241,1,0,335227,552
run_0089,det3,0.00919127,0.000192914,3081.16,64.6699,13.2156,1.0675,1,0,335227,552
run_0089,det4,0.0091325,0.000192767,3061.46,64.6206,13.7909,1.25608,1,0,335227,552
run_0089,det5,0.00882743,0.000199341,2959.19,66.8246,14.7065,1.3485,1,0,335227,552
run_0089,det6,0.00925024,0.000188612,3100.93,63.2278,12.1241,1.19859,1,0,335227,552
run_0089,det7,0.00931149,0.00019608,3121.46,65.7315,13.2356,0.879728,1,0,335227,552
run_0089,det8,0.0090962,0.000191988,3049.29,64.3597,11.9704,0.904334,1,0,335227,552
run_0089,det9,0.00890372,0.000189814,2984.77,63.6307,11.0448,1.2828,1,0,335227,552
run_0089,det10,0.00509718,0.000178843,1708.71,59.9528,16.1159,1.25086,1,0,335227,552
run_0089,det11,0.00908992,0.000260091,3047.19,87.1894,16.2935,1.29601,1,0,335227,552
run_0089,det12,0.010259,0.000194832,3439.11,65.3131,12.563,1.22025,1,0,335227,552
run_0090,det0,0.00566258,0.000153812,1776.31,48.2498,11.1748,1.08731,1,0,313693,527
run_0090,det1,0.00514155,0.000152162,1612.87,47.7322,12.7602,0.963078,1,0,313693,527
run_0090,det2,0.00307468,0.000121128,964.504,37.9969,12.2291,1.18022,1,0,313693,527
run_0090,det3,0.00510719,0.000152911,1602.09,47.9672,12.5329,1.14578,1,0,313693,527
run_0090,det4,0.00492234,0.000152436,1544.1,47.8182,13.5082,0.990341,1,0,313693,527
run_0090,det5,0.00489817,0.000160098,1536.52,50.2215,14.6327,0.98096,1,0,313693,527
run_0090,det6,0.00453064,0.000143061,1421.23,44.8772,12.2105,0.986366,1,0,313693,527
run_0090,det7,0.00517548,0.000152492,1623.51,47.8356,13.346,1.2342,1,0,313693,527
run_0090,det8,0.00522901,0.000148667,1640.3,46.6357,12.3148,1.35187,1,0,313693,527
run_0090,det9,0.00486614,0.00014546,1526.47,45.6299,10.5242,1.13596,1,0,313693,527
run_0090,det10,0.00287787,0.000130721,902.768,41.0063,15.8743,1.0641,1,0,313693,527
run_0090,det11,0.0047094,0.000202127,1477.3,63.4059,15.0402,1.05574,1,0,313693,527
run_0090,det12,0.00549039,0.000151455,1722.3,47.5104,12.5627,0.998821,1,0,313693,527
run_0091,det0,0.00515521,0.000149724,1626.32,47.2335,11.5503,0.904145,1,0,315471,527
run_0091,det1,0.00437525,0.000141316,1380.26,44.5811,12.199,1.13103,1,0,315471,527
run_0091,det2,0.0026028,0.00011786,821.106,37.1814,12.0395,0.957786,1,0,315471,527
run_0091,det3,0.00437374,0.000146405,1379.79,46.1866,13.1513,0.808928,1,0,315471,527
run_0091,det4,0.00462509,0.0001473,1459.08,46.4689,14.1882,0.959465,1,0,315471,527
run_0091,det5,0.00457852,0.000154193,1444.39,48.6436,14.3348,1.06048,1,0,315471,527
run_0091,det6,0.00435788,0.000135828,1374.79,42.8497,11.5559,1.37856,1,0,315471,527
run_0091,det7,0.00471986,0.000143261,1488.98,45.1948,12.817,0.98936,1,0,315471,527
run_0091,det8,0.0046588,0.00014288,1469.72,45.0744,12.0999,1.10457,1,0,315471,527
run_0091,det9,0.00464819,0.000145666,1466.37,45.9534,11.8584,1.07912,1,0,315471,527
run_0091,det10,0.00245337,0.00012795,773.968,40.3645,15.279,0.937318,1,0,315471,527
run_0091,det11,0.00466969,0.000222171,1473.15,70.0884,15.745,1.27255,1,0,315471,527
run_0091,det12,0.00500346,0.000146093,1578.45,46.0881,12.0884,0.999551,1,0,315471,527
run_0092,det0,0.00165334,0.000103434,464.193,29.0403,11.1261,0.730932,1,0,280761,520
run_0092,det1,0.00163398,9.98281e-05,458.759,28.0278,11.5055,0.733541,1,0,280761,520
run_0092,det2,0.000941374,8.4716e-05,264.301,23.7849,10.8918,0.730848,1,0,280761,520
run_0092,det3,0.00171093,0.000112717,480.362,31.6466,14.1862,0.768241,1,0,280761,520
run_0092,det4,0.00138449,9.31282e-05,388.712,26.1468,11.1267,1.0007,1,0,280761,520
run_0092,det5,0.00170659,0.000118467,479.143,33.2608,15.4806,0.752847,1,0,280761,520
run_0092,det6,0.00131394,9.00542e-05,368.905,25.2837,9.91728,0.91774,1,0,280761,520
run_0092,det7,0.00154804,0.00010011,434.631,28.1071,11.8605,0.821133,1,0,280761,520
run_0092,det8,0.00144234,9.88786e-05,404.952,27.7613,11.4525,0.986291,1,0,280761,520
run_0092,det9,0.00171531,0.000102277,481.591,28.7153,11.2279,0.728353,1,0,280761,520
run_0092,det10,0.000766646,9.10553e-05,215.244,25.5648,12.93,0.69171,1,0,280761,520
run_0092,det11,0.00119948,0.000135953,336.767,38.1702,13.7596,1.24702,1,0,280761,520
run_0092,det12,0.00180209,0.000106401,505.958,29.8733,12.2972,0.99894,1,0,280761,520
run_0093,det0,0.00169378,7.66182e-05,858.047,38.8138,11.4526,1.07429,1,0,506587,919
run_0093,det1,0.00136797,7.77518e-05,692.998,39.388,12.6681,1.13281,1,0,506587,919
run_0093,det2,0.000868157,6.12479e-05,439.797,31.0274,12.0743,0.984354,1,0,506587,919
run_0093,det3,0.00155975,7.70471e-05,790.147,39.0311,13.4529,1.10011,1,0,506587,919
run_0093,det4,0.00135189,7.46211e-05,684.848,37.8021,13.103,0.907154,1,0,506587,919
run_0093,det5,0.00150904,8.58243e-05,764.46,43.4775,14.4863,0.797602,1,0,506587,919
run_0093,det6,0.00146593,7.27968e-05,742.622,36.8779,12.4633,1.18929,1,0,506587,919
run_0093,det7,0.00142146,7.41109e-05,720.091,37.5436,12.3158,1.2416,1,0,506587,919
run_0093,det8,0.00157591,7.39549e-05,798.337,37.4646,11.8538,1.12032,1,0,506587,919
run_0093,det9,0.00156561,7.35071e-05,793.117,37.2377,11.8329,1.04516,1,0,506587,919
run_0093,det10,0.000975599,9.55473e-05,494.226,48.403,17.7432,0.92919,1,0,506587,919
run_0093,det11,0.00146568,0.000155259,742.494,78.6523,16.9263,0.998627,1,0,506587,919
run_0093,det12,0.00166613,7.69936e-05,844.041,39.004,13.3889,0.985485,1,0,506587,919
run_0094,det0,0.00141786,6.74652e-05,784.497,37.3281,11.6544,1.22771,1,0,553295,994
run_0094,det1,0.00139408,7.21376e-05,771.336,39.9134,12.9205,0.722723,1,0,553295,994
run_0094,det2,0.000885808,7.01445e-05,490.113,38.8106,15.1157,1.04471,1,0,553295,994
run_0094,det3,0.001384,7.44226e-05,765.761,41.1776,13.5939,1.09026,1,0,553295,994
run_0094,det4,0.00136208,7.05524e-05,753.631,39.0363,13.9115,1.05403,1,0,553295,994
run_0094,det5,0.00136879,7.21289e-05,757.347,39.9085,14.1946,1.01766,1,0,553295,994
run_0094,det6,0.00124523,6.42742e-05,688.98,35.5626,11.3401,0.901568,1,0,553295,994
run_0094,det7,0.00132905,7.25248e-05,735.354,40.1276,13.9373,0.88082,1,0,553295,994
run_0094,det8,0.00146458,7.05773e-05,810.343,39.0501,12.7115,1.1602,1,0,553295,994
run_0094,det9,0.00143157,6.76046e-05,792.08,37.4053,11.3923,0.960484,1,0,553295,994
run_0094,det10,0.00080381,6.85888e-05,444.744,37.9498,16.0435,1.32753,1,0,553295,994
run_0094,det11,0.00134902,0.000124996,746.407,69.1597,15.9456,1.06684,1,0,553295,994
run_0094,det12,0.00133595,7.12632e-05,739.176,39.4296,12.2165,0.999765,1,0,553295,994
run_0095,det0,0.000654705,4.92994e-05,391.087,29.4489,10.589,0.989958,1,0,597348,1017
run_0095,det1,0.000712172,5.29379e-05,425.414,31.6224,12.3458,1.0474,1,0,597348,1017
run_0095,det2,0.000418605,5.94115e-05,250.053,35.4893,17.0451,1.07842,1,0,597348,1017
run_0095,det3,0.000743268,6.46845e-05,443.99,38.6391,15.5904,0.822755,1,0,597348,1017
