,a0,a1,a2,a0_err,a1_err,a2_err,Chi2,Pval,Chi2NDF
3.0116,0.0016959971577748844,0.00022570855447760579,-0.00016056975783587408,2.0057795338512546e-05,3.859302148042844e-05,4.395039956490924e-05,6.248964564191521,0.1813109478889584,1.5622411410478803
3.0118,0.0017116992030388012,0.00022055145134677878,-0.00015210600352748727,1.7639372780743945e-05,3.409126968826526e-05,3.881023061108609e-05,4.656551131965724,0.32438595786084407,1.164137782991431
3.012,0.0017323332605201315,0.000229717802868318,-0.00015636009002609197,2.022062688231957e-05,3.890134510645237e-05,4.428871662000109e-05,4.3191259462629095,0.36453625963701397,1.0797814865657274
3.0122,0.0017176419739988102,0.0002215363462146373,-0.00014930507112410635,1.7186694522289456e-05,3.3001499640430806e-05,3.7650653775536516e-05,10.913908256130712,0.02754879677228717,2.728477064032678
3.0125,0.001715710709192964,0.00023132913262536464,-0.0001587230088290828,1.9290458110359312e-05,3.726745837761256e-05,4.235467059380478e-05,2.7007314686032897,0.6090866209624108,0.6751828671508224
3.013,0.0016891772383638378,0.00021743611085382297,-0.00013246908020343034,1.8722083615176077e-05,3.591846613596224e-05,4.110812558823765e-05,10.2737165282262,0.03606092765287541,2.56842913205655
3.0134,0.0016879976287711652,0.0002207036522202683,-0.00018200478135961626,1.89266690066589e-05,3.647197564765436e-05,4.147914685661422e-05,2.7660857014723854,0.5977009875300106,0.6915214253680964
3.0139,0.0016510958936475494,0.0002193278704867446,-0.00015603722311872048,1.7662405423913098e-05,3.3887082782420644e-05,3.8747851422543736e-05,2.85827772194267,0.581815411093711,0.7145694304856675
3.0145,0.0016640042545028092,0.00022236622412913983,-0.00017653308076184945,2.015715788810488e-05,3.848203929240664e-05,4.407885970205943e-05,4.821476233756974,0.30611042000102284,1.2053690584392436
3.015,0.0016281149811433683,0.00021839440691903103,-0.00017627880772369152,1.527166572735077e-05,2.9440476850231945e-05,3.359189511015258e-05,2.8110473851094246,0.589927246254194,0.7027618462773562
3.0156,0.0016135963170882013,0.0001889554133890066,-0.00010056933589605794,1.4508787098881986e-05,2.8015299454275557e-05,3.194044927478279e-05,3.208860771164003,0.5235009697428616,0.8022151927910007
3.016,0.0015937312266870655,0.00019413484533382648,-0.00011418900138414432,1.6258782768498663e-05,3.13114610816521e-05,3.583241160818957e-05,5.734265410387336,0.219891865085081,1.433566352596834
3.0165,0.0015914810176751192,0.00021200529711863387,-0.00015961391745086513,1.3433027258956438e-05,2.588551494999394e-05,2.9549469915127783e-05,2.559331002001564,0.6340440934817564,0.639832750500391
3.017,0.0015949514008171215,0.00024483529104429315,-0.0001671643884728056,1.1950891804079588e-05,2.295518036792794e-05,2.6259262371473984e-05,5.496803070163727,0.2400106352009839,1.3742007675409318
