,a0,a1,a2,a3,a4,a0_err,a1_err,a2_err,a3_err,a4_err,Chi2,Pval,Chi2NDF
3.0795,0.0014631508501634638,-0.0018535341094445545,0.002089187600182729,-0.0012797774907233883,0.000392507975958023,0.001808257438887409,0.004200744866485174,0.004076337571217291,0.0023172227248689182,0.0006496126751992598,7124.664050950192,0.0,3562.332025475096
3.0815,0.0007803907111036956,-0.0002482770372249643,0.00043968216405065874,-0.0002287331098064227,3.359132886271432e-05,0.0014131247306217493,0.0032828478644496843,0.003183505765897033,0.001807627364180931,0.000506272443129329,405.9173660239178,7.180652558470748e-89,202.9586830119589
3.0819,0.0036821746831431357,-0.007056637802632215,0.007095473310495981,-0.004117719301679368,0.0012014949876956449,0.0017852656927752413,0.00414597563171822,0.004015820649980076,0.0022758071590402605,0.0006375308587370718,80657.3608008357,0.0,40328.68040041785
3.0824,0.002373870542639489,-0.003938149903161214,0.003954478790086036,-0.0021824915267740774,0.0005845572088957196,0.0013622459732585044,0.0031653206852346513,0.003072106522682384,0.001747961373337999,0.0004913346066284585,50894.53254895528,0.0,25447.26627447764
3.0831,0.0012053936174425406,-0.0012543441849346415,0.001398748867885491,-0.0007613069757630431,0.000218230406065556,0.0014076949367575484,0.0032701339179718866,0.003172146684567824,0.001803525419938235,0.0005059404268852604,5215.4677958982475,0.0,2607.7338979491237
3.0846,0.0022354720468567013,-0.0036983652482740492,0.0038584697174133264,-0.0022436696996336325,0.0006559346977104141,0.0013792035349032704,0.0032055144735331307,0.0031102620655799086,0.0017684859836579593,0.0004964553368356032,45817.24705647963,0.0,22908.623528239816
3.0855,0.0019354777692273117,-0.002970161872092092,0.003048746526931101,-0.0017129955104198125,0.00048460118592946744,0.0015231159661626735,0.003537476464001942,0.0034284939986496685,0.0019460700505943543,0.0005451678554767413,21176.582780038218,0.0,10588.291390019109
3.0858,0.0029116495664506248,-0.005323597147710135,0.005443842401770871,-0.003178364711960424,0.0009096421397930265,0.0012977207469393336,0.003014021487237224,0.0029208696350805723,0.0016567268465490738,0.0004636182092421812,92475.77485449894,0.0,46237.88742724947
3.0875,0.0025374118381594757,-0.004354905656998254,0.004366078273050578,-0.0024170324834058565,0.000645803854760929,0.001301140261119477,0.003021686676798573,0.002929106820231901,0.001662094830364416,0.00046459111483872564,62494.189480404995,0.0,31247.094740202498
3.0885,0.0008812078213018548,-0.0005095171201967563,0.000621357212287732,-0.00029743201933996044,2.420575467143582e-05,0.0012590045549673626,0.002924927341593549,0.002836868011820925,0.001611421057053325,0.0004513900939833611,1287.5986295512955,2.520636030378717e-280,643.7993147756478
3.0895,0.0018667899162618795,-0.0027670453543522378,0.002862860392286226,-0.0016389916298938934,0.00044073381918385834,0.0012794460150928881,0.0029718719791614694,0.002881189915818037,0.0016361879423437108,0.00045829824031476185,27055.804418103005,0.0,13527.902209051503
3.0896,0.001579145239029911,-0.0021307932730849632,0.002220965370369754,-0.0012640622696699078,0.0003214919731913124,0.0012072417706148193,0.0028033520618043657,0.0027150971661420624,0.001538419160688452,0.0004298328257570149,17055.298520854463,0.0,8527.649260427232
3.0905,0.0027505221284696013,-0.0047933234333847885,0.0047696180268412824,-0.0027176235358084,0.0007572020653862088,0.001261364963414647,0.0029297786361425857,0.0028391623901563193,0.0016106506284576333,0.00045086037610089953,77715.99373235191,0.0,38857.996866175956
3.0915,0.0023942386779022273,-0.003941325404892115,0.004039692163690489,-0.0023499166245875003,0.0006808004169698845,0.0014466181700374047,0.0033597134774543238,0.0032578775186202476,0.00185027728837798,0.0005177014938758092,42804.68526713866,0.0,21402.34263356933
3.0925,0.00034254644933195966,0.0008595581380665962,-0.000686333940466799,0.00038400181325748406,-0.00014872288454303995,0.001334958910362603,0.003100606745421571,0.003005681043722744,0.0017056187214237921,0.00047708045068419564,1827.2507897292971,0.0,913.6253948646486
3.0936,0.0024096991322282157,-0.003906995827580584,0.003925109164447216,-0.002199819350305887,0.0005572561285373534,0.0014161281700022647,0.003288990800833244,0.00318967694366209,0.0018120154735094217,0.0005069358585236038,43803.467793281525,0.0,21901.733896640762
