Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int
run_0110,det10,0.0102789,0.000198784,5810.41,112.368,10.3674,1.48995,1,0,565276
run_0110,det11,0.0177693,0.000232273,10044.5,131.298,10.4476,1.55446,1,0,565276
run_0110,det12,0.0241445,0.000247551,13648.3,139.934,8.71131,1.21483,1,0,565276
run_0111,det0,0.0237487,0.000313859,8228.53,108.747,8.20265,1.24472,1,0,346483
run_0111,det1,0.0231948,0.000317662,8036.6,110.065,8.87727,0.73473,1,0,346483
run_0111,det2,0.00956913,0.000227848,3315.54,78.9455,8.67595,0.950781,1,0,346483
run_0111,det3,0.0212435,0.000305254,7360.52,105.765,9.11273,1.09776,1,0,346483
run_0111,det4,0.0215485,0.000310178,7466.17,107.472,9.40117,1.02625,1,0,346483
run_0111,det5,0.021675,0.000315413,7510.02,109.285,9.94857,1.47024,1,0,346483
run_0111,det6,0.0220346,0.000308152,7634.6,106.77,8.72261,0.951684,1,0,346483
run_0111,det7,0.0225593,0.000317544,7816.42,110.024,9.47333,1.07912,1,0,346483
run_0111,det8,0.0219811,0.000307725,7616.09,106.622,8.72702,1.05197,1,0,346483
run_0111,det9,0.0225118,0.0003062,7799.95,106.093,8.63536,0.851576,1,0,346483
run_0111,det10,0.0101378,0.000251714,3512.57,87.2145,9.97151,1.09209,1,0,346483
run_0111,det11,0.0187019,0.000310141,6479.9,107.458,10.7252,1.05941,1,0,346483
run_0111,det12,0.0246039,0.000323814,8524.84,112.196,8.79077,1.27854,1,0,346483
run_0112,det0,0.0249262,0.000299916,10307.6,124.023,8.27828,0.924781,1,0,413525
run_0112,det1,0.0240676,0.000304901,9952.57,126.084,8.65841,1.17258,1,0,413525
run_0112,det2,0.0100068,0.000213722,4138.07,88.3794,8.48687,1.12491,1,0,413525
run_0112,det3,0.0219839,0.00028939,9090.91,119.67,9.29731,1.1009,1,0,413525
run_0112,det4,0.0226196,0.000297249,9353.78,122.92,9.56238,1.06968,1,0,413525
run_0112,det5,0.0234723,0.00030116,9706.38,124.537,9.79269,1.22218,1,0,413525
run_0112,det6,0.0228948,0.000292838,9467.57,121.096,8.8947,1.1756,1,0,413525
run_0112,det7,0.0227729,0.000299725,9417.16,123.944,9.34721,1.19513,1,0,413525
run_0112,det8,0.0237983,0.000295033,9841.19,122.004,8.8084,1.33174,1,0,413525
run_0112,det9,0.0235925,0.000292256,9756.09,120.855,8.47966,0.981986,1,0,413525
run_0112,det10,0.0110967,0.000246311,4588.77,101.856,10.2412,1.46881,1,0,413525
run_0112,det11,0.0197425,0.000294386,8164.04,121.736,10.6054,1.26216,1,0,413525
run_0112,det12,0.0261379,0.000311684,10808.7,128.889,9.06376,1.12766,1,0,413525
run_0113,det0,0.0285596,0.000501363,5075.02,89.0917,8.39604,1.06273,1,0,177699
run_0113,det1,0.0287855,0.000517064,5115.15,91.8818,9.06684,0.910611,1,0,177699
run_0113,det2,0.0114345,0.000359955,2031.91,63.9636,8.80416,0.965617,1,0,177699
run_0113,det3,0.0256238,0.000486094,4553.32,86.3784,8.91584,1.06688,1,0,177699
run_0113,det4,0.0252428,0.000491867,4485.63,87.4043,9.20551,0.957887,1,0,177699
run_0113,det5,0.0259172,0.0005051,4605.47,89.7558,9.86327,1.12439,1,0,177699
run_0113,det6,0.027257,0.000500309,4843.53,88.9045,9.2754,1.13218,1,0,177699
run_0113,det7,0.0252077,0.000493969,4479.39,87.7778,9.04042,0.888872,1,0,177699
run_0113,det8,0.026386,0.000492505,4688.77,87.5176,8.6397,1.2917,1,0,177699
run_0113,det9,0.0265443,0.000483364,4716.9,85.8933,8.29644,1.01229,1,0,177699
run_0113,det10,0.0126738,0.000404441,2252.13,71.8688,10.1469,1.29036,1,0,177699
run_0113,det11,0.0218233,0.000494048,3877.99,87.7918,10.8246,1.04159,1,0,177699
run_0113,det12,0.0293874,0.000512187,5222.11,91.0151,8.70025,1.02035,1,0,177699
run_0114,det0,0.0354909,0.000775619,3504.44,76.5862,8.23239,1.49595,1,0,98742
run_0114,det1,0.0348011,0.000799745,3436.33,78.9685,9.21909,1.05855,1,0,98742
run_0114,det2,0.0144437,0.000562035,1426.2,55.4964,9.33391,0.992348,1,0,98742
run_0114,det3,0.0330639,0.000770469,3264.79,76.0777,9.2122,0.949377,1,0,98742
run_0114,det4,0.0337229,0.000786327,3329.87,77.6435,9.42432,0.892815,1,0,98742
run_0114,det5,0.0345017,0.000807525,3406.76,79.7366,10.0166,0.984936,1,0,98742
run_0114,det6,0.0336661,0.000775602,3324.26,76.5845,8.95693,1.00337,1,0,98742
run_0114,det7,0.032559,0.000777708,3214.94,76.7925,9.21793,1.02051,1,0,98742
run_0114,det8,0.0327904,0.000758736,3237.79,74.9191,8.61643,1.13521,1,0,98742
run_0114,det9,0.0314739,0.00073641,3107.8,72.7146,8.08024,1.07253,1,0,98742
run_0114,det10,0.0164703,0.000620859,1626.31,61.3048,10.1443,1.2957,1,0,98742
run_0114,det11,0.0301863,0.00081253,2980.65,80.2308,11.4124,1.21361,1,0,98742
run_0114,det12,0.0375964,0.000818495,3712.34,80.8199,9.17633,0.9807,1,0,98742
run_0115,det0,0.0491723,0.000803655,6805.89,111.233,8.19118,1.13833,1,0,138409
run_0115,det1,0.0492258,0.000832991,6813.29,115.293,9.06865,1.0582,1,0,138409
run_0115,det2,0.0193461,0.000566688,2677.67,78.4348,8.99697,0.972451,1,0,138409
run_0115,det3,0.0472243,0.000818927,6536.27,113.347,9.81851,1.05579,1,0,138409
run_0115,det4,0.047758,0.000820406,6610.14,113.552,9.71345,1.01557,1,0,138409
run_0115,det5,0.0474778,0.000846531,6571.36,117.167,10.398,1.10172,1,0,138409
run_0115,det6,0.0443282,0.000780632,6135.42,108.046,8.59118,0.967158,1,0,138409
run_0115,det7,0.0474325,0.000823422,6565.09,113.969,9.46209,1.0994,1,0,138409
run_0115,det8,0.0466845,0.000803566,6461.55,111.221,8.90688,0.962684,1,0,138409
run_0115,det9,0.0453538,0.000773841,6277.38,107.107,8.21435,1.01823,1,0,138409
run_0115,det10,0.0217082,0.000639629,3004.61,88.5304,10.0985,0.858449,1,0,138409
run_0115,det11,0.0386949,0.000798324,5355.73,110.495,10.5081,0.977221,1,0,138409
run_0115,det12,0.0509791,0.000833966,7055.97,115.428,8.69607,0.919759,1,0,138409
run_0116,det0,0.0379113,0.000741032,4375.3,85.5217,8.4172,1.0323,1,0,115409
run_0116,det1,0.0371598,0.000775483,4288.57,89.4977,9.53767,1.01257,1,0,115409
run_0116,det2,0.0153682,0.000526918,1773.63,60.811,8.99498,1.11853,1,0,115409
run_0116,det3,0.033149,0.000717465,3825.7,82.8019,9.15477,0.971536,1,0,115409
run_0116,det4,0.035171,0.000747606,4059.05,86.2805,9.54489,0.920697,1,0,115409
run_0116,det5,0.0352329,0.000766,4066.2,88.4033,9.98404,0.868387,1,0,115409
run_0116,det6,0.0345499,0.000738068,3987.36,85.1797,9.23468,1.07741,1,0,115409
run_0116,det7,0.0354343,0.000753025,4089.43,86.9059,9.49635,1.04616,1,0,115409
run_0116,det8,0.0342887,0.000723525,3957.23,83.5013,8.7133,1.10763,1,0,115409
run_0116,det9,0.0354204,0.00072007,4087.83,83.1025,8.5992,1.02019,1,0,115409
run_0116,det10,0.0162276,0.000592228,1872.81,68.3484,10.3421,1.04741,1,0,115409
run_0116,det11,0.0290086,0.000729933,3347.85,84.2408,10.6262,1.08752,1,0,115409
run_0116,det12,0.0378122,0.000755853,4363.87,87.2322,8.71441,1.23606,1,0,115409
run_0117,det0,0.024543,0.000429094,4843.15,84.6743,8.18462,1.13398,1,0,197333
run_0117,det1,0.0245643,0.0004381,4847.35,86.4516,8.75911,1.0664,1,0,197333
run_0117,det2,0.010218,0.000310345,2016.36,61.2413,8.67719,0.936131,1,0,197333
run_0117,det3,0.0224712,0.000422629,4434.32,83.3986,9.26488,1.03423,1,0,197333
run_0117,det4,0.0235379,0.000430044,4644.81,84.8619,9.51138,1.18847,1,0,197333
run_0117,det5,0.0235073,0.000438378,4638.76,86.5065,9.89986,0.920249,1,0,197333
run_0117,det6,0.0228463,0.000425566,4508.32,83.9783,8.84207,0.930631,1,0,197333
run_0117,det7,0.0235541,0.000437708,4648.01,86.3742,9.404,1.09015,1,0,197333
run_0117,det8,0.0233723,0.00042179,4612.12,83.2331,8.43403,0.944479,1,0,197333
run_0117,det9,0.0236629,0.000420595,4669.47,82.9974,8.43688,1.00546,1,0,197333
run_0117,det10,0.0119622,0.000366575,2360.54,72.3373,10.9959,1.4276,1,0,197333
run_0117,det11,0.0201821,0.000431922,3982.59,85.2325,11.1266,1.19506,1,0,197333
run_0117,det12,0.0262924,0.000447626,5188.36,88.3313,8.83906,1.11166,1,0,197333
run_0118,det0,0.0234787,0.000292812,9495.8,118.426,8.17313,1.1934,1,0,404444
run_0118,det1,0.0232911,0.000292142,9419.93,118.155,8.82557,0.778146,1,0,404444
run_0118,det2,0.0091559,0.000203451,3703.05,82.2847,8.5484,1.10621,1,0,404444
run_0118,det3,0.0216803,0.000281213,8768.47,113.735,9.37218,1.03392,1,0,404444
run_0118,det4,0.0216386,0.000285672,8751.6,115.538,9.52249,1.21644,1,0,404444
run_0118,det5,0.0215751,0.000286474,8725.92,115.863,9.85088,1.24968,1,0,404444
run_0118,det6,0.0213874,0.000280101,8650.02,113.285,8.85674,1.06136,1,0,404444
run_0118,det7,0.0212452,0.000284913,8592.49,115.231,9.35131,1.46517,1,0,404444
run_0118,det8,0.0221028,0.000280201,8939.35,113.326,8.64123,1.21378,1,0,404444
run_0118,det9,0.0216,0.000276083,8735.98,111.66,8.3812,1.33587,1,0,404444
run_0118,det10,0.0102674,0.000230718,4152.59,93.3124,10.2389,1.52244,1,0,404444
run_0118,det11,0.018348,0.000279957,7420.76,113.227,10.78,1.40262,1,0,404444
run_0118,det12,0.0237763,0.000292133,9616.16,118.152,8.84397,1.02008,1,0,404444
run_0119,det0,0.0224192,0.000225513,13918.8,140.009,8.17006,1.28544,1,0,620844
run_0119,det1,0.0221514,0.000229895,13752.6,142.729,8.90324,1.3442,1,0,620844
run_0119,det2,0.00896274,0.000165077,5564.47,102.487,8.902,1.19224,1,0,620844
run_0119,det3,0.0199167,0.000219323,12365.2,136.166,9.37501,1.44038,1,0,620844
run_0119,det4,0.0204542,0.000222082,12698.9,137.879,9.34574,1.30508,1,0,620844
run_0119,det5,0.0204371,0.000224505,12688.3,139.383,9.73549,1.23129,1,0,620844
run_0119,det6,0.0202027,0.000219484,12542.7,136.266,8.79557,1.2023,1,0,620844
run_0119,det7,0.0205283,0.000225118,12744.9,139.763,9.42885,1.54631,1,0,620844
run_0119,det8,0.0210775,0.000222124,13085.8,137.904,8.78304,1.21476,1,0,620844
run_0119,det9,0.0210787,0.000218656,13086.6,135.751,8.56344,1.31813,1,0,620844
run_0119,det10,0.0100082,0.000184757,6213.55,114.705,10.3432,1.68363,1,0,620844
run_0119,det11,0.0174796,0.000219147,10852.1,136.056,10.5641,1.31677,1,0,620844
run_0119,det12,0.0233287,0.000237833,14483.5,147.657,8.81071,1.35299,1,0,620844
run_0120,det0,0.0220062,0.00021533,15795.1,154.554,8.29309,1.29703,1,0,717754
run_0120,det1,0.0214844,0.000209402,15420.5,150.299,8.91903,1.20657,1,0,717754
run_0120,det2,0.00877952,0.000149991,6301.53,107.656,8.63507,1.29683,1,0,717754
run_0120,det3,0.0197335,0.000200294,14163.8,143.762,9.24278,1.16535,1,0,717754
run_0120,det4,0.0204086,0.000206871,14648.3,148.483,9.41312,1.17298,1,0,717754
run_0120,det5,0.0203501,0.000208938,14606.3,149.966,9.90101,1.60021,1,0,717754
run_0120,det6,0.0201089,0.000203226,14433.2,145.866,8.80096,1.09463,1,0,717754
run_0120,det7,0.0199051,0.000205899,14286.9,147.785,9.22055,1.30587,1,0,717754
run_0120,det8,0.0202487,0.000202409,14533.6,145.28,8.63645,1.14178,1,0,717754
run_0120,det9,0.0207358,0.000201035,14883.2,144.294,8.43147,0.989153,1,0,717754
run_0120,det10,0.0095746,0.00017022,6872.21,122.176,10.2115,1.47234,1,0,717754
run_0120,det11,0.0173609,0.000202294,12460.9,145.197,10.678,1.29197,1,0,717754
run_0120,det12,0.0224672,0.000214242,16125.9,153.773,8.78781,1.04202,1,0,717754
run_0121,det0,0.0222758,0.000230139,13301.2,137.419,8.2889,0.860223,1,0,597114
run_0121,det1,0.0217956,0.00023148,13014.5,138.22,8.7706,1.52037,1,0,597114
run_0121,det2,0.00885214,0.000159026,5285.73,94.9569,8.53693,1.40489,1,0,597114
run_0121,det3,0.0203815,0.000222082,12170.1,132.608,9.24618,1.38053,1,0,597114
run_0121,det4,0.0205035,0.000227206,12242.9,135.668,9.48492,1.22956,1,0,597114
run_0121,det5,0.0212837,0.000231958,12708.8,138.505,10.0185,1.15791,1,0,597114
run_0121,det6,0.0206889,0.000224636,12353.6,134.133,8.80268,1.2216,1,0,597114
run_0121,det7,0.0206887,0.00022882,12353.5,136.632,9.33344,1.63138,1,0,597114
