Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
511,45,3,2357.4,216863.0,0.085877,4.112215661276087e-09,0.00067814,3.247269849363352e-11
511,30,4,2357.4,216863.0,0.08690089999999999,4.013026746672645e-09,0.000689431,3.1837472833828745e-11
511,15,5,2357.4,216863.0,0.08793560000000002,4.003178079768208e-09,0.000692808,3.153937425898103e-11
511,0,6,2357.4,216863.0,0.0863686,3.9264802682936435e-09,0.0006851019999999999,3.114603553569829e-11
511,-15,7,2357.4,216863.0,0.0846616,3.88037360068954e-09,0.000685135,3.140242762844581e-11
511,-30,8,2357.4,216863.0,0.0847819,3.795618688339381e-09,0.000677602,3.033570625871963e-11
511,-45,9,2357.4,216863.0,0.08205130000000001,3.83012465776598e-09,0.00066273,3.0935993877504044e-11
511,-90,10,2357.4,216863.0,0.0330101,2.645833456908851e-09,0.000472506,3.787241430320336e-11
511,-105,11,2357.4,216863.0,0.08511460000000001,4.101905727718592e-09,0.000701027,3.378441144745298e-11
511,-120,12,2357.4,216863.0,0.08868839999999999,3.801031555194915e-09,0.0006907,2.96022083516348e-11
512,120,0,2356.9,247186.0,0.100738,4.319308159393101e-09,0.000683206,2.929358583996429e-11
512,105,1,2356.9,247186.0,0.06709789999999999,3.112308792680277e-09,0.000574996,2.6670955522542273e-11
512,90,2,2356.9,247186.0,0.0458644,3.5510613085248973e-09,0.00048730599999999996,3.77297747711086e-11
512,45,3,2356.9,247186.0,0.08906069999999999,4.264666969551932e-09,0.000646667,3.0965615531870277e-11
512,30,4,2356.9,247186.0,0.0910003,4.202334358507619e-09,0.000657562,3.0365783249604525e-11
512,15,5,2356.9,247186.0,0.092913,4.229769114277988e-09,0.000663434,3.020215300939484e-11
512,0,6,2356.9,247186.0,0.0906939,4.1231166049304595e-09,0.000651891,2.963620052401234e-11
512,-15,7,2356.9,247186.0,0.0882628,4.045430738882099e-09,0.000652116,2.9889037190264064e-11
512,-30,8,2356.9,247186.0,0.0867559,3.883993108950172e-09,0.000639358,2.8623552590108157e-11
512,-45,9,2356.9,247186.0,0.0848872,3.962503431983554e-09,0.000627751,2.930318695788185e-11
512,-90,10,2356.9,247186.0,0.0335792,2.6914480966805214e-09,0.0004493,3.6012401422266116e-11
512,-105,11,2356.9,247186.0,0.0882758,4.254252615167561e-09,0.000662418,3.192373797613916e-11
512,-120,12,2356.9,247186.0,0.0909804,3.899262714224808e-09,0.000653878,2.802408106638231e-11
513,120,0,2356.4,245493.0,0.097651,4.186947934968887e-09,0.000673799,2.8890245175513828e-11
513,105,1,2356.4,245493.0,0.0655244,3.0393226353596698e-09,0.000570005,2.6439450018133528e-11
513,90,2,2356.4,245493.0,0.045241500000000004,3.5028331383301456e-09,0.000483779,3.745669601644993e-11
513,45,3,2356.4,245493.0,0.0871689,4.1740782253246986e-09,0.000642707,3.077599113862583e-11
513,30,4,2356.4,245493.0,0.09005110000000001,4.158500923089324e-09,0.0006524580000000001,3.0130083866571476e-11
513,15,5,2356.4,245493.0,0.0926237,4.216599028232326e-09,0.000662543,3.0161591147429115e-11
513,0,6,2356.4,245493.0,0.0892748,4.058601629016348e-09,0.000652179,2.964929354991838e-11
513,-15,7,2356.4,245493.0,0.0868562,3.9809607370544705e-09,0.0006490430000000001,2.9748189532354e-11
513,-30,8,2356.4,245493.0,0.08606699999999999,3.853151600156466e-09,0.000637134,2.85239858669884e-11
513,-45,9,2356.4,245493.0,0.083473,3.896489093502475e-09,0.000625259,2.918686130981591e-11
513,-90,10,2356.4,245493.0,0.0322253,2.582929978973853e-09,0.00043969800000000003,3.524277961399414e-11
513,-105,11,2356.4,245493.0,0.08472619999999999,4.083187667777689e-09,0.000653546,3.149617199314307e-11
513,-120,12,2356.4,245493.0,0.088228,3.7812996068452815e-09,0.0006471269999999999,2.7734744873271138e-11
514,120,0,2355.7,259533.0,0.0850787,3.6478898042502114e-09,0.000614951,2.6367039964332692e-11
514,105,1,2355.7,259533.0,0.05742130000000001,2.663463638610628e-09,0.000523672,2.4290312663741585e-11
514,90,2,2355.7,259533.0,0.0389596,3.016455642188856e-09,0.000444373,3.440567775558241e-11
514,45,3,2355.7,259533.0,0.0776932,3.720334825560457e-09,0.000593225,2.8406548152130457e-11
514,30,4,2355.7,259533.0,0.081035,3.742143319765593e-09,0.000605677,2.79697678717303e-11
514,15,5,2355.7,259533.0,0.0832918,3.7917738434085575e-09,0.000615964,2.8041129903319518e-11
514,0,6,2355.7,259533.0,0.0796668,3.6218037369842283e-09,0.000602052,2.7370425113834474e-11
514,-15,7,2355.7,259533.0,0.07856160000000001,3.6007866455149842e-09,0.000603459,2.7658895800439737e-11
514,-30,8,2355.7,259533.0,0.07670210000000001,3.433892425091631e-09,0.000589791,2.640447715626062e-11
514,-45,9,2355.7,259533.0,0.0736797,3.439341433308187e-09,0.000574994,2.68405095040236e-11
514,-90,10,2355.7,259533.0,0.027555200000000002,2.208611003051029e-09,0.000402312,3.2246207970164087e-11
514,-105,11,2355.7,259533.0,0.07337239999999999,3.5360169444074176e-09,0.000595755,2.8711065396735575e-11
514,-120,12,2355.7,259533.0,0.0775218,3.3224503769998017e-09,0.000591713,2.5359796598191524e-11
515,120,0,2355.2,233516.0,0.076787,3.2923694696670377e-09,0.000615556,2.6392980338733938e-11
515,105,1,2355.2,233516.0,0.0503894,2.337291818043241e-09,0.000518194,2.403621786246908e-11
515,90,2,2355.2,233516.0,0.0346721,2.684495006918352e-09,0.000443869,3.4366655444171026e-11
515,45,3,2355.2,233516.0,0.0694493,3.325576104482707e-09,0.000592321,2.83632601593292e-11
515,30,4,2355.2,233516.0,0.07341560000000001,3.390284409287134e-09,0.000611491,2.823825459056929e-11
515,15,5,2355.2,233516.0,0.0752379,3.4251282989800764e-09,0.000619891,2.821990255420551e-11
515,0,6,2355.2,233516.0,0.0716485,3.2572766202397297e-09,0.000603386,2.743107128244094e-11
515,-15,7,2355.2,233516.0,0.0696179,3.1908617519092987e-09,0.0005951519999999999,2.727815336820448e-11
515,-30,8,2355.2,233516.0,0.0695825,3.1151535573203133e-09,0.000594106,2.659765629756536e-11
515,-45,9,2355.2,233516.0,0.0658416,3.0734617936189253e-09,0.000575329,2.685614718143214e-11
515,-90,10,2355.2,233516.0,0.0247752,1.9857877759112566e-09,0.000406616,3.2591183211030846e-11
515,-105,11,2355.2,233516.0,0.0647697,3.1214292661025825e-09,0.000594419,2.8646679897041846e-11
515,-120,12,2355.2,233516.0,0.06977219999999999,2.9903159136411376e-09,0.000595336,2.551507211702455e-11
516,120,0,2354.7,238740.0,0.0650217,2.787912797033993e-09,0.000566447,2.4287350840435025e-11
516,105,1,2354.7,238740.0,0.0444285,2.0607978967388805e-09,0.00048563400000000003,2.2525935509524052e-11
516,90,2,2354.7,238740.0,0.029497199999999998,2.2838272304842227e-09,0.00040878199999999995,3.165003671303722e-11
516,45,3,2354.7,238740.0,0.0603268,2.88874566827754e-09,0.0005504419999999999,2.63578864308736e-11
516,30,4,2354.7,238740.0,0.06272130000000001,2.8964286271612725e-09,0.000563394,2.6017166576121632e-11
516,15,5,2354.7,238740.0,0.06484630000000001,2.952061357562502e-09,0.000573494,2.6107726673595093e-11
516,0,6,2354.7,238740.0,0.0625757,2.8448099346830046e-09,0.000560361,2.5475073228248397e-11
516,-15,7,2354.7,238740.0,0.06116080000000001,2.80323964721967e-09,0.0005611969999999999,2.5721862374277916e-11
516,-30,8,2354.7,238740.0,0.0605174,2.709316191424227e-09,0.000550735,2.4655970889100024e-11
516,-45,9,2354.7,238740.0,0.0587888,2.744239670553332e-09,0.000539656,2.519094459577554e-11
516,-90,10,2354.7,238740.0,0.0213636,1.7123403940011671e-09,0.000385337,3.0885623696531845e-11
516,-105,11,2354.7,238740.0,0.0566222,2.728778922723336e-09,0.00055488,2.674118717818673e-11
516,-120,12,2354.7,238740.0,0.06027130000000001,2.5831237588300087e-09,0.000552348,2.3672680727680297e-11
517,120,0,2354.1,223988.0,0.055225699999999996,2.367893114993305e-09,0.000543999,2.3324855758519004e-11
517,105,1,2354.1,223988.0,0.0360452,1.6719419369893716e-09,0.00046127300000000005,2.1395960435811107e-11
517,90,2,2354.1,223988.0,0.0241656,1.871026921910877e-09,0.000393173,3.044150643759996e-11
517,45,3,2354.1,223988.0,0.0517229,2.4767483659957495e-09,0.000532014,2.547546261301788e-11
517,30,4,2354.1,223988.0,0.0531946,2.456491849664994e-09,0.000543563,2.5101383961519655e-11
517,15,5,2354.1,223988.0,0.055879,2.54383421412224e-09,0.000553484,2.519679192843884e-11
517,0,6,2354.1,223988.0,0.053114499999999995,2.4146858489113252e-09,0.000537894,2.445368082189061e-11
517,-15,7,2354.1,223988.0,0.0523212,2.3980860654227837e-09,0.000548009,2.5117404543975946e-11
517,-30,8,2354.1,223988.0,0.050808,2.2746340235020364e-09,0.000526683,2.3579181849317494e-11
517,-45,9,2354.1,223988.0,0.0488394,2.2798053194830035e-09,0.0005119430000000001,2.3897311897199546e-11
517,-90,10,2354.1,223988.0,0.017973199999999998,1.4405922395786186e-09,0.000370608,2.970506135389095e-11
517,-105,11,2354.1,223988.0,0.0473345,2.281179218003676e-09,0.000531209,2.560041684641255e-11
517,-120,12,2354.1,223988.0,0.0493261,2.1140314020176246e-09,0.000523075,2.2418090536457764e-11
518,120,0,2353.6,223727.0,0.048082400000000004,2.0616123274554077e-09,0.000512825,2.1988219012098382e-11
518,105,1,2353.6,223727.0,0.032303,1.4983615125056224e-09,0.000440984,2.0454863425402578e-11
