,a0,a1,a2,a3,a4,a5,a0_err,a1_err,a2_err,a3_err,a4_err,a5_err,Chi2,Pval,Chi2NDF
2.2199,-0.005847563235811926,0.0076586501167170695,0.003730455686114187,-0.011616552471981123,0.008229894219548228,-0.00213963431457731,0.0030842020592838346,0.004011928493923847,0.0019771605595444055,0.006075412213361486,0.004270334733039814,0.0011029757812293344,2030780.1281703638,,-2030780.1281703638
2.2294,0.0023092825374533277,-0.005356936340376706,0.005321326449802655,-0.0032498098778432905,0.0012162879793606862,-0.0002254707621780483,0.040526714515641785,0.09374745918551314,0.0910981451566382,0.05362098576677642,0.018843440375465276,0.003101113947032615,2078458.11433049,,inf
2.2446,1.824381674595324e-05,1.0135924198891564e-05,1.058515064452693e-09,-5.0663743268491045e-06,-2.6593437269401707e-06,3.4849185938800167e-06,5.7344038444906935e-06,2.7273064398204762e-06,2.3373866116739546e-06,4.111669028015457e-06,3.2307009110127905e-06,1.5503398775842115e-06,1.5476298910279893,,-0.38690747275699733
2.2939,8.769739553532831e-06,7.804233584563701e-06,5.922569873783933e-06,3.220642375402721e-06,-1.6454711700272448e-07,-4.062638270280368e-06,9.140482448879953e-06,7.209385688217462e-06,3.474619061476837e-06,2.18594647437889e-06,8.878915599728975e-06,1.6695495605912062e-05,0.000588966626360728,,-0.000147241656590182
2.2957,1.8119110147023305e-05,2.9630261776202575e-06,-8.287514893504864e-06,-2.899055407350616e-06,9.298930021048046e-06,1.0385503955163866e-05,2.8975661014132676e-06,6.279649930675472e-06,8.413467845195133e-06,2.8269144477304532e-06,8.487803117260717e-06,5.008540091435439e-06,3.705983462022213,,-1.235327820674071
2.2978,0.0034138374105054936,-0.008156056990813454,0.008558588806607759,-0.005687040596562554,0.002383458647370329,-0.0004914872769575807,0.008735793189313536,0.02105113082350633,0.022219734647583395,0.01490366635062012,0.0063331540085945865,0.0013387100481818293,4319587.844085292,,inf
2.2998,-0.00024730453993093704,0.0006999733615415948,-0.0006882507553775952,0.0004088381612490366,-0.00013338642489379993,1.718593733768259e-05,0.0034006358971612545,0.008179834131669032,0.008612949959571374,0.005748358575582377,0.0024204079602649833,0.0005090880612969347,21357.050571858825,0.0,21357.050571858825
2.302,-0.000703796887028707,0.0010554709773138438,0.00027276274996690386,-0.0015070973892343797,0.001344323961224192,-0.00044471341224244787,0.0007020794524504546,0.0010193156236862934,0.0002697569477181131,0.0014636284535475966,0.0012960413848016907,0.0004231354049965478,164300.29612537354,,-164300.29612537354
2.3059,3.288007880362947e-05,-1.6400499787055727e-06,-1.8124661339300466e-05,6.50468726932739e-06,2.3473368100865094e-05,-2.331342285581575e-05,1.5000177051846339e-05,8.454796476611748e-06,1.3192222530953635e-05,1.3517465235236164e-05,2.124429650832206e-05,3.5595715955271354e-05,15.421983964813887,,-7.710991982406943
2.3139,1.59700937831996e-05,9.294464959519358e-06,9.499289299190439e-07,-3.222339084881117e-06,-1.2405117778510444e-06,3.818363190094146e-06,5.534275452402217e-06,2.7977790205303653e-06,2.6379372690481663e-06,4.2470690014402344e-06,3.4377437786324726e-06,1.9479204769895926e-06,1.1646961470912747,,-0.29117403677281867
2.3209,0.0007676066232709111,-0.0018023872302874722,0.0019235973064288814,-0.0013277134530609302,0.0006005346843623582,-0.00014645108590025102,0.0025237764002570147,0.006060174449036652,0.006361495710375967,0.004222745291322839,0.0017557866074772142,0.00036044705327010725,214068.97984523137,0.0,214068.97984523137
2.3229,6.643082559154578e-06,5.2329144893725754e-05,-6.145550298963798e-05,5.650507218124545e-05,-2.929272152191187e-05,3.34516150615749e-06,0.0024767197764736615,0.005959522120801936,0.006279427525420146,0.004197421691806136,0.0017731993170872153,0.0003770587320283182,126.5694253995132,2.3078529870000036e-29,126.5694253995132
2.3245,-0.004296437948628551,0.010430321434325762,-0.010931416878837474,0.007226003513554957,-0.0029759134558284828,0.0006050967395958284,0.003235584626473816,0.007780183568243128,0.008186787531212405,0.005458012616285369,0.002295981376601555,0.00048431181416259543,2023213.4952330696,0.0,2023213.4952330696
2.3251,-0.001990864480964305,0.004972862344995832,-0.005296728935249462,0.003616018429127621,-0.0015653395382904112,0.00034658025615541543,0.003532356405330236,0.008493253904863163,0.008936750383124659,0.005958006329752659,0.002502328166657029,0.0005242821118559206,676936.5321887976,0.0,676936.5321887976
2.3255,0.0014225482501775133,-0.003249958344714088,0.0035307444002334876,-0.0024607197252208834,0.0010817786874837143,-0.00022800447515580746,0.003029963178037212,0.007283595317176727,0.007660967614847829,0.0051028298497201845,0.0021408534536188043,0.00044850077068500155,348288.3119355544,0.0,348288.3119355544
2.3258,-0.0008538265673614376,0.002291798860134975,-0.002319776793061834,0.0014699401072384433,-0.000598949359890355,0.00013307779096527472,0.004596938934169352,0.011047991942901203,0.011614771269042734,0.007731229287308066,0.0032385646725142892,0.0006759079249401309,54983.76355884168,0.0,54983.76355884168
2.326,0.005039275419584044,-0.011851934613375192,0.01251649995740678,-0.008352026289230707,0.0034900678740710234,-0.0007194681444128159,0.005471171249869647,0.013162173312112443,0.013861376472419022,0.009255386488093527,0.0039005666296078314,0.0008219945768638813,1999826.1704629748,0.0,1999826.1704629748
2.3266,0.004083872268864752,-0.009486175464950009,0.009959733623063016,-0.0065767790296860085,0.0026954613802012695,-0.0005398493378373503,0.004151832898165854,0.00998324003800337,0.010505721121355512,0.007005391943519139,0.0029441239107154604,0.0006181650133265384,1554700.2499698503,0.0,1554700.2499698503
2.327,-0.0014641102564052488,0.0038242978150933027,-0.0041319260719347994,0.0029166627834804615,-0.0013778236597248306,0.0003490974823007198,0.00501319774082272,0.012049708467054472,0.01267052435412525,0.008437552771070627,0.003533799017369996,0.000736360975941079,230540.7279205536,0.0,230540.7279205536
2.3275,0.0011315595069181228,-0.002545875923765095,0.002733898589571737,-0.0018495210143996133,0.0007740866927645751,-0.00015822307889923337,0.004266535848774534,0.01025341517511064,0.010777367765805346,0.00717091100158383,0.003000610130248924,0.0006248030162822948,116478.83710157489,0.0,116478.83710157489
2.328,0.0009835564842033406,-0.002215118858001297,0.0023470203395721256,-0.001581053966822843,0.0006722904918146089,-0.00014613780374203578,0.003714560623336695,0.008933122704571982,0.00940465648827218,0.00627401884298066,0.0026419849455788487,0.0005570657306100144,90897.04126564431,0.0,90897.04126564431
2.3286,0.0010522711210967373,-0.0023817452146630558,0.0024424396882896104,-0.0015524228754308922,0.00059907238529322,-0.00012031998399397725,0.0031902108012590697,0.007675440959717043,0.008091211187965788,0.0054096116665226495,0.0022871130376992707,0.0004867055396789898,178707.68833853467,0.0,178707.68833853467
2.329,0.0017644311750402153,-0.004140847804691816,0.004359261232074196,-0.002907327260213144,0.0012232005447259109,-0.00025254485502519686,0.0024677522077231145,0.005930082850078434,0.0062348801702568415,0.004150139871819158,0.001738368897616271,0.00036390215486978024,654784.6993611597,0.0,654784.6993611597
2.3298,-2.870849136060727e-05,8.9287058982368e-05,2.5742715584753384e-05,-0.00011792885690331545,6.220638176190896e-05,-2.8888080661482185e-06,0.0010881687717396193,0.0015807854548062963,0.0004204863752976611,0.0022698970967571608,0.0020003677963650697,0.0006531424207799366,287.56077670265245,,-287.56077670265245
2.3299,-0.0019690931855005367,0.004796227350251314,-0.0049883305913862586,0.003284021375977275,-0.0013438460385317708,0.0002645587999079435,0.0023280802510936313,0.0055988390627160975,0.0058972035285471775,0.003936775924124474,0.0016594987466455205,0.00035168552164256954,1273973.973176321,0.0,1273973.973176321
2.334,-0.00018552377288294508,0.0005191284469550084,-0.0005822404655129176,0.00041907833417909046,-0.0001915359057889643,4.586039367671102e-05,0.002218835900329724,0.005329802614823754,0.005598544771417233,0.0037221146253262,0.001553152050431585,0.00032176179243308074,13904.435998672923,0.0,13904.435998672923
2.3418,-5.923581267275324e-05,0.00019365501351931158,-0.00020869586871619106,0.00014581569970673058,-6.791411687623317e-05,2.349340469164074e-05,0.0016037466552867633,0.0038559536290701333,0.004060752605436929,0.0027101938712632057,0.001140789269680873,0.00024117842658222065,5327.549581458937,0.0,5327.549581458937
2.3435,0.058648168216222984,-0.13565643987158182,0.1319250537158041,-0.07775435555413424,0.02738740075574242,-0.004531607265693793,0.05701631906716206,0.13192422498686557,0.12827048709987585,0.07557801908050858,0.0266094015810572,0.004395724352033317,150155771.27985036,,inf
2.3439,1.146745857524866e-05,1.2781843751405519e-05,1.3168273724831789e-05,9.331227162091447e-06,-1.3148365909194319e-06,-1.9213966622657914e-05,2.227675931036613e-05,2.3385177479135736e-06,2.7891544546748853e-05,3.738561436614018e-05,9.224500771074056e-06,6.377761715354474e-05,11.216686977892731,,-3.7388956592975773
2.3452,0.0014901770016169102,-0.0034798984101520603,0.0035654943659828575,-0.00226088548292136,0.0008533151073968348,-0.00015230188627474162,0.0033024091420999387,0.007937720395869674,0.008349266844432005,0.005562711778180988,0.002331362490138846,0.0004849631042987557,490074.3737214413,0.0,490074.3737214413
2.3467,0.0009133727307908401,-0.0021405938612009123,0.002274436823805459,-0.0015650935252393694,0.0007091273701492762,-0.0001788368422571962,0.0030490292897023446,0.007328536937525291,0.007705356230922925,0.005131710972026969,0.0021481490092300584,0.00044622938145033754,202203.5078003484,0.0,202203.5078003484
2.3481,-0.02287043255822141,0.05297026383504999,-0.051488867556486184,0.030350807302198746,-0.010748803540316487,0.0018231025226960185,0.06967243733675443,0.16128981697842545,0.15700009069365728,0.09269041597956947,0.03274852359229182,0.005446388326875886,39997378.43266894,,inf
2.3495,0.003964528659972544,-0.009450268685018415,0.009903351722579501,-0.006551182501826069,0.00269444334230573,-0.0005302402225362823,0.0031831357276928297,0.007652980963174567,0.008053903832114559,0.0053704734661053745,0.0022545591040596473,0.0004724349729100869,5701812.987688145,0.0,5701812.987688145
2.3505,0.0023411762134970537,-0.005574525180315426,0.005907712764242845,-0.0039876029493997045,0.0017122343879960034,-0.00037018889742554406,0.0028716681626340663,0.006901959253925025,0.007259339982076359,0.004835382005700242,0.002029334604188299,0.0004268659569415868,723441.5465117915,0.0,723441.5465117915
2.3512,0.0007243627814101927,-0.0016749822414130477,0.0017778532376748757,-0.0011995185663522534,0.0005108634959576364,-0.0001044863823597697,0.0031224151950050463,0.00751120080645069,0.00791188812060243,0.005284455988186673,0.002225828785598116,0.00046761153913545524,347477.82357977086,0.0,347477.82357977086
2.352,-0.0009789396152370955,0.0024254361130680024,-0.002519723739585089,0.0016255704088941059,-0.0006532857660495051,0.0001436249237080356,0.003287980155028407,0.007904090797684497,0.008317049840176486,0.005545058680747124,0.002325973125122495,0.0004863454265557513,331255.26643679675,0.0,331255.26643679675
2.3528,0.006359222888232985,-0.015182894400909142,0.015933070452732956,-0.0105892285495508,0.004398455258147249,-0.0008827461015225996,0.00320948271368461,0.007707144663206953,0.008092828629263056,0.005374774957293222,0.0022383269665822037,0.00046272976253734663,6288267.44890433,0.0,6288267.44890433
2.3536,0.001784253441805106,-0.004230022012730039,0.004518467618194855,-0.0031088103803735834,0.001367441198562358,-0.0003058751801608972,0.0028421333663378036,0.006829131922093773,0.007177292253879988,0.004774638099601575,0.0019971819086291934,0.00041579032175498336,530616.8507012767,0.0,530616.8507012767
2.3541,-0.0021609088857630354,0.005355869679164016,-0.0057549591815764245,0.003975397238894729,-0.0017901971336613531,0.00042920725477488264,0.0031048932371812664,0.007459270246131073,0.007836471726004686,0.00521037820774837,0.0021748771770723476,0.00045003552006368233,889028.2099896579,0.0,889028.2099896579
2.3547,0.003936207817475612,-0.009315030198703056,0.009721646416060992,-0.006413392042942334,0.002634351974334148,-0.0005335295962168862,0.003479157410964236,0.008359042185903724,0.00878457826326607,0.0058430313700202135,0.0024404800618619887,0.0005040599782767358,2882708.197664024,0.0,2882708.197664024
